Монета,место где купить,место куда продать,прибыль,время
ETH,Coinbase,Binance,0.11,10:01:07.000
SOL,Kraken,Coinbase,1.3,10:01:07.000
XRP,Bybit,Binance,-0.0,10:01:07.000
BTC,Binance,Kraken,-0.18,10:01:07.500
ETH,Coinbase,Binance,0.26,10:01:07.500
SOL,Kraken,Coinbase,1.16,10:01:07.500
XRP,Bybit,Binance,0.03,10:01:07.500
BTC,Binance,Kraken,-0.13,10:01:08.000
ETH,Coinbase,Binance,0.11,10:01:08.000
SOL,Kraken,Coinbase,0.8,10:01:08.000
XRP,Bybit,Binance,0.03,10:01:08.000
BTC,Binance,Kraken,0.46,10:01:08.500
ETH,Coinbase,Binance,-0.29,10:01:08.500
SOL,Kraken,Coinbase,0.94,10:01:08.500
XRP,Bybit,Binance,-0.01,10:01:08.500
BTC,Binance,Kraken,0.64,10:01:09.000
ETH,Coinbase,Binance,0.38,10:01:09.000
SOL,Kraken,Coinbase,1.21,10:01:09.000
XRP,Bybit,Binance,0.02,10:01:09.000
BTC,Binance,Kraken,0.47,10:01:09.500
ETH,Coinbase,Binance,0.01,10:01:09.500
SOL,Kraken,Coinbase,1.16,10:01:09.500
XRP,Bybit,Binance,-0.01,10:01:09.500
BTC,Binance,Kraken,0.04,10:01:10.000
ETH,Coinbase,Binance,0.22,10:01:10.000
SOL,Kraken,Coinbase,0.97,10:01:10.000
XRP,Bybit,Binance,-0.01,10:01:10.000
BTC,Binance,Kraken,-0.07,10:01:10.500
ETH,Coinbase,Binance,-0.13,10:01:10.500
SOL,Kraken,Coinbase,1.29,10:01:10.500
XRP,Bybit,Binance,-0.0,10:01:10.500
BTC,Binance,Kraken,0.45,10:01:11.000
ETH,Coinbase,Binance,0.01,10:01:11.000
SOL,Kraken,Coinbase,1.22,10:01:11.000
XRP,Bybit,Binance,0.07,10:01:11.000
BTC,Binance,Kraken,0.16,10:01:11.500
ETH,Coinbase,Binance,-0.24,10:01:11.500
SOL,Kraken,Coinbase,1.27,10:01:11.500
XRP,Bybit,Binance,0.04,10:01:11.500
BTC,Binance,Kraken,0.22,10:01:12.000
ETH,Coinbase,Binance,0.09,10:01:12.000
SOL,Kraken,Coinbase,0.87,10:01:12.000
XRP,Bybit,Binance,-0.02,10:01:12.000
BTC,Binance,Kraken,0.49,10:01:12.500
ETH,Coinbase,Binance,-0.22,10:01:12.500
SOL,Kraken,Coinbase,0.92,10:01:12.500
XRP,Bybit,Binance,0.04,10:01:12.500
BTC,Binance,Kraken,0.44,10:01:13.000
ETH,Coinbase,Binance,0.37,10:01:13.000
SOL,Kraken,Coinbase,1.17,10:01:13.000
XRP,Bybit,Binance,0.07,10:01:13.000
BTC,Binance,Kraken,-0.15,10:01:13.500
ETH,Coinbase,Binance,0.36,10:01:13.500
SOL,Kraken,Coinbase,1.03,10:01:13.500
XRP,Bybit,Binance,0.02,10:01:13.500
BTC,Binance,Kraken,0.08,10:01:14.000
ETH,Coinbase,Binance,-0.1,10:01:14.000
SOL,Kraken,Coinbase,1.14,10:01:14.000
XRP,Bybit,Binance,-0.0,10:01:14.000
BTC,Binance,Kraken,0.04,10:01:14.500
ETH,Coinbase,Binance,-0.15,10:01:14.500
SOL,Kraken,Coinbase,0.95,10:01:14.500
XRP,Bybit,Binance,0.05,10:01:14.500
BTC,Binance,Kraken,0.42,10:01:15.000
ETH,Coinbase,Binance,0.1,10:01:15.000
SOL,Kraken,Coinbase,1.26,10:01:15.000
XRP,Bybit,Binance,-0.01,10:01:15.000
BTC,Binance,Kraken,0.4,10:01:15.500
ETH,Coinbase,Binance,0.39,10:01:15.500
SOL,Kraken,Coinbase,1.27,10:01:15.500
XRP,Bybit,Binance,-0.0,10:01:15.500
BTC,Binance,Kraken,-0.05,10:01:16.000
ETH,Coinbase,Binance,-0.04,10:01:16.000
SOL,Kraken,Coinbase,1.01,10:01:16.000
XRP,Bybit,Binance,0.05,10:01:16.000
BTC,Binance,Kraken,0.23,10:01:16.500
ETH,Coinbase,Binance,0.3,10:01:16.500
SOL,Kraken,Coinbase,1.01,10:01:16.500
XRP,Bybit,Binance,0.01,10:01:16.500
BTC,Binance,Kraken,0.43,10:01:17.000
ETH,Coinbase,Binance,0.17,10:01:17.000
SOL,Kraken,Coinbase,1.23,10:01:17.000
XRP,Bybit,Binance,0.02,10:01:17.000
BTC,Binance,Kraken,0.6,10:01:17.500
ETH,Coinbase,Binance,0.37,10:01:17.500
SOL,Kraken,Coinbase,1.1,10:01:17.500
XRP,Bybit,Binance,0.01,10:01:17.500
BTC,Binance,Kraken,0.32,10:01:18.000
ETH,Coinbase,Binance,-0.08,10:01:18.000
SOL,Kraken,Coinbase,1.23,10:01:18.000
XRP,Bybit,Binance,-0.01,10:01:18.000
BTC,Binance,Kraken,0.34,10:01:18.500
ETH,Coinbase,Binance,0.03,10:01:18.500
SOL,Kraken,Coinbase,1.27,10:01:18.500
XRP,Bybit,Binance,0.01,10:01:18.500
BTC,Binance,Kraken,-0.02,10:01:19.000
ETH,Coinbase,Binance,0.07,10:01:19.000
SOL,Kraken,Coinbase,1.1,10:01:19.000
XRP,Bybit,Binance,0.05,10:01:19.000
BTC,Binance,Kraken,0.05,10:01:19.500
ETH,Coinbase,Binance,0.29,10:01:19.500
SOL,Kraken,Coinbase,0.95,10:01:19.500
XRP,Bybit,Binance,0.0,10:01:19.500
BTC,Binance,Kraken,0.56,10:01:20.000
ETH,Coinbase,Binance,0.24,10:01:20.000
SOL,Kraken,Coinbase,1.12,10:01:20.000
XRP,Bybit,Binance,0.05,10:01:20.000
BTC,Binance,Kraken,0.19,10:01:20.500
ETH,Coinbase,Binance,0.15,10:01:20.500
SOL,Kraken,Coinbase,1.23,10:01:20.500
XRP,Bybit,Binance,0.0,10:01:20.500
BTC,Binance,Kraken,-0.12,10:01:21.000
ETH,Coinbase,Binance,0.39,10:01:21.000
SOL,Kraken,Coinbase,1.2,10:01:21.000
XRP,Bybit,Binance,0.04,10:01:21.000
BTC,Binance,Kraken,0.12,10:01:21.500
ETH,Coinbase,Binance,0.15,10:01:21.500
SOL,Kraken,Coinbase,1.09,10:01:21.500
XRP,Bybit,Binance,0.07,10:01:21.500
BTC,Binance,Kraken,0.32,10:01:22.000
ETH,Coinbase,Binance,0.23,10:01:22.000
SOL,Kraken,Coinbase,1.28,10:01:22.000
XRP,Bybit,Binance,0.02,10:01:22.000
BTC,Binance,Kraken,-0.16,10:01:22.500
ETH,Coinbase,Binance,0.39,10:01:22.500
SOL,Kraken,Coinbase,0.82,10:01:22.500
XRP,Bybit,Binance,0.02,10:01:22.500
BTC,Binance,Kraken,-0.03,10:01:23.000
ETH,Coinbase,Binance,0.14,10:01:23.000
SOL,Kraken,Coinbase,1.21,10:01:23.000
XRP,Bybit,Binance,0.03,10:01:23.000
BTC,Binance,Kraken,-0.0,10:01:23.500
ETH,Coinbase,Binance,0.02,10:01:23.500
SOL,Kraken,Coinbase,0.81,10:01:23.500
XRP,Bybit,Binance,0.03,10:01:23.500
BTC,Binance,Kraken,0.33,10:01:24.000
ETH,Coinbase,Binance,-0.24,10:01:24.000
SOL,Kraken,Coinbase,0.81,10:01:24.000
XRP,Bybit,Binance,0.02,10:01:24.000
BTC,Binance,Kraken,-0.12,10:01:24.500
ETH,Coinbase,Binance,0.0,10:01:24.500
SOL,Kraken,Coinbase,1.15,10:01:24.500
XRP,Bybit,Binance,0.02,10:01:24.500
BTC,Binance,Kraken,0.37,10:01:25.000
ETH,Coinbase,Binance,-0.0,10:01:25.000
SOL,Kraken,Coinbase,1.12,10:01:25.000
XRP,Bybit,Binance,0.03,10:01:25.000
BTC,Binance,Kraken,0.01,10:01:25.500
ETH,Coinbase,Binance,-0.11,10:01:25.500
SOL,Kraken,Coinbase,1.03,10:01:25.500
XRP,Bybit,Binance,-0.02,10:01:25.500
BTC,Binance,Kraken,0.32,10:01:26.000
ETH,Coinbase,Binance,-0.28,10:01:26.000
SOL,Kraken,Coinbase,0.91,10:01:26.000
XRP,Bybit,Binance,0.02,10:01:26.000
BTC,Binance,Kraken,-0.18,10:01:26.500
ETH,Coinbase,Binance,-0.08,10:01:26.500
SOL,Kraken,Coinbase,1.27,10:01:26.500
XRP,Bybit,Binance,0.02,10:01:26.500
BTC,Binance,Kraken,0.36,10:01:27.000
ETH,Coinbase,Binance,0.1,10:01:27.000
SOL,Kraken,Coinbase,0.84,10:01:27.000
XRP,Bybit,Binance,-0.01,10:01:27.000
BTC,Binance,Kraken,0.4,10:01:27.500
ETH,Coinbase,Binance,0.3,10:01:27.500
SOL,Kraken,Coinbase,0.99,10:01:27.500
XRP,Bybit,Binance,0.01,10:01:27.500
BTC,Binance,Kraken,0.31,10:01:28.000
ETH,Coinbase,Binance,-0.28,10:01:28.000
SOL,Kraken,Coinbase,1.01,10:01:28.000
XRP,Bybit,Binance,-0.01,10:01:28.000
BTC,Binance,Kraken,-0.2,10:01:28.500
ETH,Coinbase,Binance,-0.29,10:01:28.500
SOL,Kraken,Coinbase,1.09,10:01:28.500
XRP,Bybit,Binance,0.06,10:01:28.500
BTC,Binance,Kraken,0.24,10:01:29.000
ETH,Coinbase,Binance,0.25,10:01:29.000
SOL,Kraken,Coinbase,0.86,10:01:29.000
XRP,Bybit,Binance,0.04,10:01:29.000
BTC,Binance,Kraken,0.66,10:01:29.500
ETH,Coinbase,Binance,-0.1,10:01:29.500
SOL,Kraken,Coinbase,1.26,10:01:29.500
XRP,Bybit,Binance,0.06,10:01:29.500
BTC,Binance,Kraken,0.08,10:01:30.000
ETH,Coinbase,Binance,-0.15,10:01:30.000
SOL,Kraken,Coinbase,1.12,10:01:30.000
XRP,Bybit,Binance,0.06,10:01:30.000
BTC,Binance,Kraken,0.69,10:01:30.500
ETH,Coinbase,Binance,-0.29,10:01:30.500
SOL,Kraken,Coinbase,1.29,10:01:30.500
XRP,Bybit,Binance,0.03,10:01:30.500
BTC,Binance,Kraken,-0.01,10:01:31.000
ETH,Coinbase,Binance,-0.1,10:01:31.000
SOL,Kraken,Coinbase,1.1,10:01:31.000
XRP,Bybit,Binance,0.04,10:01:31.000
BTC,Binance,Kraken,0.05,10:01:31.500
ETH,Coinbase,Binance,0.02,10:01:31.500
SOL,Kraken,Coinbase,1.19,10:01:31.500
XRP,Bybit,Binance,0.0,10:01:31.500
BTC,Binance,Kraken,-0.06,10:01:32.000
ETH,Coinbase,Binance,-0.02,10:01:32.000
SOL,Kraken,Coinbase,1.01,10:01:32.000
XRP,Bybit,Binance,-0.01,10:01:32.000
BTC,Binance,Kraken,0.56,10:01:32.500
ETH,Coinbase,Binance,0.08,10:01:32.500
SOL,Kraken,Coinbase,1.19,10:01:32.500
XRP,Bybit,Binance,0.06,10:01:32.500
BTC,Binance,Kraken,0.16,10:01:33.000
ETH,Coinbase,Binance,-0.08,10:01:33.000
SOL,Kraken,Coinbase,1.24,10:01:33.000
XRP,Bybit,Binance,0.01,10:01:33.000
BTC,Binance,Kraken,0.32,10:01:33.500
ETH,Coinbase,Binance,-0.3,10:01:33.500
SOL,Kraken,Coinbase,0.93,10:01:33.500
XRP,Bybit,Binance,0.02,10:01:33.500
BTC,Binance,Kraken,0.54,10:01:34.000
ETH,Coinbase,Binance,-0.02,10:01:34.000
SOL,Kraken,Coinbase,1.2,10:01:34.000
XRP,Bybit,Binance,0.07,10:01:34.000
BTC,Binance,Kraken,0.65,10:01:34.500
ETH,Coinbase,Binance,0.37,10:01:34.500
SOL,Kraken,Coinbase,1.05,10:01:34.500
XRP,Bybit,Binance,0.04,10:01:34.500
BTC,Binance,Kraken,-0.0,10:01:35.000
ETH,Coinbase,Binance,0.2,10:01:35.000
SOL,Kraken,Coinbase,1.18,10:01:35.000
XRP,Bybit,Binance,0.05,10:01:35.000
BTC,Binance,Kraken,0.68,10:01:35.500
ETH,Coinbase,Binance,0.36,10:01:35.500
SOL,Kraken,Coinbase,1.04,10:01:35.500
XRP,Bybit,Binance,0.02,10:01:35.500
BTC,Binance,Kraken,0.66,10:01:36.000
ETH,Coinbase,Binance,-0.18,10:01:36.000
SOL,Kraken,Coinbase,1.05,10:01:36.000
XRP,Bybit,Binance,0.02,10:01:36.000
BTC,Binance,Kraken,0.21,10:01:36.500
ETH,Coinbase,Binance,-0.15,10:01:36.500
SOL,Kraken,Coinbase,0.94,10:01:36.500
XRP,Bybit,Binance,0.05,10:01:36.500
BTC,Binance,Kraken,0.42,10:01:37.000
ETH,Coinbase,Binance,-0.18,10:01:37.000
SOL,Kraken,Coinbase,0.94,10:01:37.000
XRP,Bybit,Binance,0.03,10:01:37.000
BTC,Binance,Kraken,-0.04,10:01:37.500
ETH,Coinbase,Binance,0.15,10:01:37.500
SOL,Kraken,Coinbase,0.92,10:01:37.500
XRP,Bybit,Binance,-0.01,10:01:37.500
BTC,Binance,Kraken,-0.15,10:01:38.000
ETH,Coinbase,Binance,0.23,10:01:38.000
SOL,Kraken,Coinbase,1.15,10:01:38.000
XRP,Bybit,Binance,0.06,10:01:38.000
BTC,Binance,Kraken,0.53,10:01:38.500
ETH,Coinbase,Binance,-0.19,10:01:38.500
SOL,Kraken,Coinbase,0.93,10:01:38.500
XRP,Bybit,Binance,0.07,10:01:38.500
BTC,Binance,Kraken,0.39,10:01:39.000
ETH,Coinbase,Binance,-0.23,10:01:39.000
SOL,Kraken,Coinbase,0.84,10:01:39.000
XRP,Bybit,Binance,0.0,10:01:39.000
BTC,Binance,Kraken,0.12,10:01:39.500
ETH,Coinbase,Binance,-0.05,10:01:39.500
SOL,Kraken,Coinbase,0.83,10:01:39.500
XRP,Bybit,Binance,0.0,10:01:39.500
BTC,Binance,Kraken,0.2,10:01:40.000
ETH,Coinbase,Binance,0.14,10:01:40.000
SOL,Kraken,Coinbase,1.26,10:01:40.000
XRP,Bybit,Binance,0.05,10:01:40.000
BTC,Binance,Kraken,0.08,10:01:40.500
ETH,Coinbase,Binance,0.13,10:01:40.500
SOL,Kraken,Coinbase,1.05,10:01:40.500
XRP,Bybit,Binance,0.0,10:01:40.500
BTC,Binance,Kraken,0.56,10:01:41.000
ETH,Coinbase,Binance,-0.27,10:01:41.000
SOL,Kraken,Coinbase,0.85,10:01:41.000
XRP,Bybit,Binance,0.05,10:01:41.000
BTC,Binance,Kraken,0.29,10:01:41.500
ETH,Coinbase,Binance,0.39,10:01:41.500
SOL,Kraken,Coinbase,0.87,10:01:41.500
XRP,Bybit,Binance,0.02,10:01:41.500
BTC,Binance,Kraken,-0.13,10:01:42.000
ETH,Coinbase,Binance,-0.2,10:01:42.000
SOL,Kraken,Coinbase,1.18,10:01:42.000
XRP,Bybit,Binance,-0.0,10:01:42.000
BTC,Binance,Kraken,0.26,10:01:42.500
ETH,Coinbase,Binance,0.27,10:01:42.500
SOL,Kraken,Coinbase,0.98,10:01:42.500
XRP,Bybit,Binance,-0.01,10:01:42.500
BTC,Binance,Kraken,0.54,10:01:43.000
ETH,Coinbase,Binance,0.16,10:01:43.000
SOL,Kraken,Coinbase,1.15,10:01:43.000
XRP,Bybit,Binance,0.02,10:01:43.000
BTC,Binance,Kraken,0.64,10:01:43.500
ETH,Coinbase,Binance,0.36,10:01:43.500
SOL,Kraken,Coinbase,0.94,10:01:43.500
XRP,Bybit,Binance,0.05,10:01:43.500
BTC,Binance,Kraken,0.23,10:01:44.000
ETH,Coinbase,Binance,0.27,10:01:44.000
SOL,Kraken,Coinbase,0.94,10:01:44.000
XRP,Bybit,Binance,0.03,10:01:44.000
BTC,Binance,Kraken,0.65,10:01:44.500
ETH,Coinbase,Binance,-0.11,10:01:44.500
SOL,Kraken,Coinbase,0.94,10:01:44.500
XRP,Bybit,Binance,0.01,10:01:44.500
BTC,Binance,Kraken,0.63,10:01:45.000
ETH,Coinbase,Binance,0.35,10:01:45.000
SOL,Kraken,Coinbase,1.02,10:01:45.000
XRP,Bybit,Binance,0.02,10:01:45.000
BTC,Binance,Kraken,-0.08,10:01:45.500
ETH,Coinbase,Binance,0.04,10:01:45.500
SOL,Kraken,Coinbase,0.89,10:01:45.500
XRP,Bybit,Binance,-0.02,10:01:45.500
BTC,Binance,Kraken,0.28,10:01:46.000
ETH,Coinbase,Binance,0.29,10:01:46.000
SOL,Kraken,Coinbase,0.97,10:01:46.000
XRP,Bybit,Binance,0.07,10:01:46.000
BTC,Binance,Kraken,0.69,10:01:46.500
ETH,Coinbase,Binance,0.2,10:01:46.500
SOL,Kraken,Coinbase,0.95,10:01:46.500
XRP,Bybit,Binance,0.02,10:01:46.500
BTC,Binance,Kraken,-0.11,10:01:47.000
ETH,Coinbase,Binance,0.38,10:01:47.000
SOL,Kraken,Coinbase,1.22,10:01:47.000
XRP,Bybit,Binance,-0.01,10:01:47.000
BTC,Binance,Kraken,-0.07,10:01:47.500
ETH,Coinbase,Binance,-0.17,10:01:47.500
SOL,Kraken,Coinbase,1.12,10:01:47.500
XRP,Bybit,Binance,0.05,10:01:47.500
BTC,Binance,Kraken,0.46,10:01:48.000
ETH,Coinbase,Binance,0.18,10:01:48.000
SOL,Kraken,Coinbase,1.26,10:01:48.000
XRP,Bybit,Binance,0.04,10:01:48.000
BTC,Binance,Kraken,0.13,10:01:48.500
ETH,Coinbase,Binance,0.28,10:01:48.500
SOL,Kraken,Coinbase,1.22,10:01:48.500
XRP,Bybit,Binance,0.05,10:01:48.500
BTC,Binance,Kraken,0.19,10:01:49.000
ETH,Coinbase,Binance,-0.18,10:01:49.000
SOL,Kraken,Coinbase,1.2,10:01:49.000
XRP,Bybit,Binance,0.01,10:01:49.000
BTC,Binance,Kraken,0.59,10:01:49.500
ETH,Coinbase,Binance,-0.19,10:01:49.500
SOL,Kraken,Coinbase,1.21,10:01:49.500
XRP,Bybit,Binance,0.04,10:01:49.500
BTC,Binance,Kraken,0.23,10:01:50.000
ETH,Coinbase,Binance,0.36,10:01:50.000
SOL,Kraken,Coinbase,0.95,10:01:50.000
XRP,Bybit,Binance,0.05,10:01:50.000
BTC,Binance,Kraken,0.21,10:01:50.500
ETH,Coinbase,Binance,-0.01,10:01:50.500
SOL,Kraken,Coinbase,1.01,10:01:50.500
XRP,Bybit,Binance,0.03,10:01:50.500
BTC,Binance,Kraken,0.12,10:01:51.000
ETH,Coinbase,Binance,0.12,10:01:51.000
SOL,Kraken,Coinbase,0.83,10:01:51.000
XRP,Bybit,Binance,0.05,10:01:51.000
BTC,Binance,Kraken,0.46,10:01:51.500
ETH,Coinbase,Binance,0.11,10:01:51.500
SOL,Kraken,Coinbase,1.15,10:01:51.500
XRP,Bybit,Binance,0.06,10:01:51.500
BTC,Binance,Kraken,0.1,10:01:52.000
ETH,Coinbase,Binance,-0.1,10:01:52.000
SOL,Kraken,Coinbase,1.24,10:01:52.000
XRP,Bybit,Binance,0.06,10:01:52.000
BTC,Binance,Kraken,-0.01,10:01:52.500
ETH,Coinbase,Binance,0.2,10:01:52.500
SOL,Kraken,Coinbase,1.19,10:01:52.500
XRP,Bybit,Binance,0.02,10:01:52.500
BTC,Binance,Kraken,0.26,10:01:53.000
ETH,Coinbase,Binance,0.16,10:01:53.000
SOL,Kraken,Coinbase,0.89,10:01:53.000
XRP,Bybit,Binance,0.03,10:01:53.000
BTC,Binance,Kraken,0.06,10:01:53.500
ETH,Coinbase,Binance,0.06,10:01:53.500
SOL,Kraken,Coinbase,0.85,10:01:53.500
XRP,Bybit,Binance,-0.0,10:01:53.500
BTC,Binance,Kraken,0.13,10:01:54.000
ETH,Coinbase,Binance,0.2,10:01:54.000
SOL,Kraken,Coinbase,1.2,10:01:54.000
XRP,Bybit,Binance,0.01,10:01:54.000
BTC,Binance,Kraken,0.36,10:01:54.500
ETH,Coinbase,Binance,0.11,10:01:54.500
SOL,Kraken,Coinbase,1.2,10:01:54.500
XRP,Bybit,Binance,0.06,10:01:54.500
BTC,Binance,Kraken,-0.07,10:01:55.000
ETH,Coinbase,Binance,-0.03,10:01:55.000
SOL,Kraken,Coinbase,0.95,10:01:55.000
XRP,Bybit,Binance,0.06,10:01:55.000
BTC,Binance,Kraken,0.39,10:01:55.500
ETH,Coinbase,Binance,0.38,10:01:55.500
SOL,Kraken,Coinbase,1.26,10:01:55.500
XRP,Bybit,Binance,-0.01,10:01:55.500
BTC,Binance,Kraken,0.06,10:01:56.000
ETH,Coinbase,Binance,-0.19,10:01:56.000
SOL,Kraken,Coinbase,1.2,10:01:56.000
XRP,Bybit,Binance,0.02,10:01:56.000
BTC,Binance,Kraken,0.02,10:01:56.500
ETH,Coinbase,Binance,0.03,10:01:56.500
SOL,Kraken,Coinbase,1.12,10:01:56.500
XRP,Bybit,Binance,0.02,10:01:56.500
BTC,Binance,Kraken,0.08,10:01:57.000
ETH,Coinbase,Binance,0.36,10:01:57.000
SOL,Kraken,Coinbase,1.24,10:01:57.000
XRP,Bybit,Binance,0.02,10:01:57.000
BTC,Binance,Kraken,0.38,10:01:57.500
ETH,Coinbase,Binance,0.12,10:01:57.500
SOL,Kraken,Coinbase,1.09,10:01:57.500
XRP,Bybit,Binance,0.04,10:01:57.500
BTC,Binance,Kraken,0.53,10:01:58.000
ETH,Coinbase,Binance,0.2,10:01:58.000
SOL,Kraken,Coinbase,0.89,10:01:58.000
XRP,Bybit,Binance,-0.01,10:01:58.000
BTC,Binance,Kraken,0.27,10:01:58.500
ETH,Coinbase,Binance,-0.1,10:01:58.500
SOL,Kraken,Coinbase,0.99,10:01:58.500
XRP,Bybit,Binance,0.03,10:01:58.500
BTC,Binance,Kraken,0.16,10:01:59.000
ETH,Coinbase,Binance,-0.28,10:01:59.000
SOL,Kraken,Coinbase,1.05,10:01:59.000
XRP,Bybit,Binance,-0.01,10:01:59.000
BTC,Binance,Kraken,0.68,10:01:59.500
ETH,Coinbase,Binance,-0.23,10:01:59.500
SOL,Kraken,Coinbase,0.84,10:01:59.500
XRP,Bybit,Binance,-0.01,10:01:59.500
BTC,Binance,Kraken,0.28,10:02:00.000
ETH,Coinbase,Binance,0.3,10:02:00.000
SOL,Kraken,Coinbase,1.07,10:02:00.000
XRP,Bybit,Binance,0.04,10:02:00.000
BTC,Binance,Kraken,0.59,10:02:00.500
ETH,Coinbase,Binance,-0.17,10:02:00.500
SOL,Kraken,Coinbase,0.87,10:02:00.500
XRP,Bybit,Binance,0.04,10:02:00.500
BTC,Binance,Kraken,0.37,10:02:01.000
ETH,Coinbase,Binance,0.11,10:02:01.000
SOL,Kraken,Coinbase,1.08,10:02:01.000
XRP,Bybit,Binance,0.01,10:02:01.000
BTC,Binance,Kraken,0.28,10:02:01.500
ETH,Coinbase,Binance,0.25,10:02:01.500
SOL,Kraken,Coinbase,0.85,10:02:01.500
XRP,Bybit,Binance,0.02,10:02:01.500
BTC,Binance,Kraken,-0.17,10:02:02.000
ETH,Coinbase,Binance,-0.16,10:02:02.000
SOL,Kraken,Coinbase,1.28,10:02:02.000
XRP,Bybit,Binance,0.01,10:02:02.000
BTC,Binance,Kraken,0.43,10:02:02.500
ETH,Coinbase,Binance,-0.27,10:02:02.500
SOL,Kraken,Coinbase,1.11,10:02:02.500
XRP,Bybit,Binance,0.07,10:02:02.500
BTC,Binance,Kraken,0.68,10:02:03.000
ETH,Coinbase,Binance,0.34,10:02:03.000
SOL,Kraken,Coinbase,0.87,10:02:03.000
XRP,Bybit,Binance,0.05,10:02:03.000
BTC,Binance,Kraken,-0.09,10:02:03.500
ETH,Coinbase,Binance,-0.2,10:02:03.500
SOL,Kraken,Coinbase,1.0,10:02:03.500
XRP,Bybit,Binance,0.06,10:02:03.500
BTC,Binance,Kraken,0.16,10:02:04.000
ETH,Coinbase,Binance,0.07,10:02:04.000
SOL,Kraken,Coinbase,1.03,10:02:04.000
XRP,Bybit,Binance,0.07,10:02:04.000
BTC,Binance,Kraken,0.35,10:02:04.500
ETH,Coinbase,Binance,0.12,10:02:04.500
SOL,Kraken,Coinbase,1.09,10:02:04.500
XRP,Bybit,Binance,0.01,10:02:04.500
BTC,Binance,Kraken,0.22,10:02:05.000
ETH,Coinbase,Binance,-0.28,10:02:05.000
SOL,Kraken,Coinbase,0.89,10:02:05.000
XRP,Bybit,Binance,0.04,10:02:05.000
BTC,Binance,Kraken,0.63,10:02:05.500
ETH,Coinbase,Binance,-0.29,10:02:05.500
SOL,Kraken,Coinbase,0.94,10:02:05.500
XRP,Bybit,Binance,-0.0,10:02:05.500
BTC,Binance,Kraken,0.49,10:02:06.000
ETH,Coinbase,Binance,-0.09,10:02:06.000
SOL,Kraken,Coinbase,0.94,10:02:06.000
XRP,Bybit,Binance,0.04,10:02:06.000
BTC,Binance,Kraken,0.34,10:02:06.500
ETH,Coinbase,Binance,0.35,10:02:06.500
SOL,Kraken,Coinbase,1.22,10:02:06.500
XRP,Bybit,Binance,0.05,10:02:06.500
BTC,Binance,Kraken,0.36,10:02:07.000
ETH,Coinbase,Binance,-0.05,10:02:07.000
SOL,Kraken,Coinbase,1.09,10:02:07.000
XRP,Bybit,Binance,0.03,10:02:07.000
BTC,Binance,Kraken,0.08,10:02:07.500
ETH,Coinbase,Binance,0.07,10:02:07.500
SOL,Kraken,Coinbase,1.0,10:02:07.500
XRP,Bybit,Binance,0.07,10:02:07.500
BTC,Binance,Kraken,0.48,10:02:08.000
ETH,Coinbase,Binance,0.07,10:02:08.000
SOL,Kraken,Coinbase,1.2,10:02:08.000
XRP,Bybit,Binance,0.06,10:02:08.000
BTC,Binance,Kraken,0.58,10:02:08.500
ETH,Coinbase,Binance,0.18,10:02:08.500
SOL,Kraken,Coinbase,0.81,10:02:08.500
XRP,Bybit,Binance,0.01,10:02:08.500
BTC,Binance,Kraken,-0.18,10:02:09.000
ETH,Coinbase,Binance,0.06,10:02:09.000
SOL,Kraken,Coinbase,0.98,10:02:09.000
XRP,Bybit,Binance,0.04,10:02:09.000
BTC,Binance,Kraken,0.64,10:02:09.500
ETH,Coinbase,Binance,0.26,10:02:09.500
SOL,Kraken,Coinbase,1.12,10:02:09.500
XRP,Bybit,Binance,0.05,10:02:09.500
BTC,Binance,Kraken,0.46,10:02:10.000
ETH,Coinbase,Binance,0.02,10:02:10.000
SOL,Kraken,Coinbase,1.15,10:02:10.000
XRP,Bybit,Binance,0.0,10:02:10.000
BTC,Binance,Kraken,-0.12,10:02:10.500
ETH,Coinbase,Binance,0.35,10:02:10.500
SOL,Kraken,Coinbase,1.29,10:02:10.500
XRP,Bybit,Binance,0.02,10:02:10.500
BTC,Binance,Kraken,0.5,10:02:11.000
ETH,Coinbase,Binance,0.39,10:02:11.000
SOL,Kraken,Coinbase,1.13,10:02:11.000
XRP,Bybit,Binance,-0.01,10:02:11.000
BTC,Binance,Kraken,0.47,10:02:11.500
ETH,Coinbase,Binance,0.02,10:02:11.500
SOL,Kraken,Coinbase,0.89,10:02:11.500
XRP,Bybit,Binance,0.03,10:02:11.500
BTC,Binance,Kraken,0.13,10:02:12.000
ETH,Coinbase,Binance,0.36,10:02:12.000
SOL,Kraken,Coinbase,0.81,10:02:12.000
XRP,Bybit,Binance,-0.01,10:02:12.000
BTC,Binance,Kraken,0.61,10:02:12.500
ETH,Coinbase,Binance,0.24,10:02:12.500
SOL,Kraken,Coinbase,1.02,10:02:12.500
XRP,Bybit,Binance,0.01,10:02:12.500
BTC,Binance,Kraken,0.25,10:02:13.000
ETH,Coinbase,Binance,0.25,10:02:13.000
SOL,Kraken,Coinbase,0.83,10:02:13.000
XRP,Bybit,Binance,-0.0,10:02:13.000
BTC,Binance,Kraken,0.65,10:02:13.500
ETH,Coinbase,Binance,0.27,10:02:13.500
SOL,Kraken,Coinbase,1.0,10:02:13.500
XRP,Bybit,Binance,0.07,10:02:13.500
BTC,Binance,Kraken,0.52,10:02:14.000
ETH,Coinbase,Binance,0.26,10:02:14.000
SOL,Kraken,Coinbase,1.18,10:02:14.000
